MMSI,Suspicious
215877000,4
218000630,0
218005000,1
218008130,1
218022078,0
218030270,1
218030430,0
218037430,0
218037720,0
218039370,0
218039730,0
218043440,1
218047870,0
218055710,3
218058660,0
218061300,0
218098000,2
218172000,0
218179000,0
218197000,0
218298000,0
218346000,0
218413000,0
218492000,0
218762000,1
218767000,0
218795000,11
218800000,0
218805000,0
218816000,10
218836000,0
218856000,0
218858000,0
219000003,0
219000121,0
219000125,0
219000126,0
219000155,1
219000158,0
219000159,0
219000161,0
219000166,0
219000167,0
219000174,3
219000175,0
219000176,0
219000177,0
219000178,2
219000179,22
219000181,0
219000182,0
219000183,0
219000184,0
219000185,0
219000186,0
219000187,0
219000188,0
219000191,0
219000192,0
219000193,0
219000195,0
219000217,1
219000245,0
219000333,0
219000368,0
219000407,0
219000416,0
219000417,0
219000429,4
219000431,8
219000472,0
219000474,0
219000543,0
219000549,0
219000551,0
219000552,1
219000553,1
219000558,0
219000575,0
219000577,7
219000581,0
219000583,0
219000584,0
219000603,0
219000604,13
219000606,0
219000615,0
219000617,0
219000618,0
219000622,0
219000632,0
219000643,0
219000647,0
219000657,0
219000674,0
219000675,0
219000692,0
219000733,0
219000734,0
219000742,0
219000751,0
219000762,0
219000771,0
219000775,0
219000781,0
219000804,0
219000805,0
219000809,0
219000811,0
219000818,0
219000827,0
219000836,0
219000851,0
219000855,0
219000859,0
219000872,0
219000873,0
219000875,0
219000881,0
219000892,0
219000895,0
219000896,0
219000897,0
219000899,0
219000923,0
219000933,0
219000934,0
219000942,0
219000962,0
219000988,0
219001013,0
219001058,0
219001061,0
219001063,0
219001083,0
219001111,0
219001125,0
219001149,1
219001181,0
219001182,0
219001185,0
219001189,0
219001214,0
219001236,0
219001239,0
219001253,0
219001262,0
219001265,0
219001266,0
219001275,0
219001284,0
219001306,0
219001343,0
219001362,0
219001431,0
219001468,0
219001514,0
219001518,0
219001522,0
219001553,0
219001569,0
219001587,0
219001604,0
219001619,0
219001642,0
219001647,0
219001695,0
219001764,0
219001771,0
219001819,6
219001849,0
219001959,0
219002005,0
219002023,0
219002051,14
219002066,0
219002136,0
219002149,0
219002176,0
219002177,1
219002269,0
219002307,0
219002312,0
219002332,3
219002339,0
219002349,0
219002358,0
219002392,1
219002409,0
219002416,0
219002418,0
219002464,0
219002493,0
219002565,2
219002585,0
219002586,0
219002587,0
219002602,0
219002624,0
219002656,0
219002661,0
219002684,0
219002686,0
219002719,0
219002731,0
219002732,0
219002761,0
219002764,0
219002769,0
219002774,0
219002785,0
219002786,0
219002798,0
219002801,0
219002823,0
219002827,0
219002838,0
219002856,0
219002857,1
219002874,0
219002962,5
219002973,0
219002981,0
219002998,0
219003038,0
219003103,0
219003113,0
219003121,0
219003122,0
219003138,7
219003141,0
219003217,0
219003232,0
219003249,0
219003315,0
219003342,0
219003369,0
219003381,0
219003383,0
219003406,0
219003446,0
219003452,0
219003485,0
219003561,0
219003656,0
219003826,0
219003879,0
219003959,0
219003966,3
219004002,0
219004043,0
219004125,0
219004128,1
219004145,0
219004179,0
219004203,3
219004242,0
219004259,0
219004265,0
219004266,0
219004279,0
219004307,0
219004355,0
219004365,0
219004431,0
219004432,0
219004473,0
219004529,0
219004596,0
219004616,0
219004668,0
219004819,0
219004896,0
219004903,0
219004907,0
219005059,0
219005068,0
219005109,0
219005216,0
219005313,0
219005323,0
219005356,0
219005385,0
219005453,0
219005454,1
219005474,0
219005477,1
219005496,0
219005511,0
219005513,0
219005583,0
219005659,0
219005671,0
219005732,0
219005763,0
219005787,0
219005803,0
219005826,0
219005827,0
219005866,0
219005867,0
219005878,6
219005886,0
219005887,0
219005893,0
219005901,0
219005902,0
219005909,4
219005921,0
219005929,0
219005931,5
219005953,0
219005954,0
219005956,0
219005964,0
219005969,0
219005979,0
219005998,0
219006012,0
219006024,1
219006026,0
219006091,10
219006092,0
219006099,0
219006113,0
219006115,0
219006152,0
219006164,0
219006219,1
219006248,0
219006283,0
219006284,0
219006301,0
219006304,0
219006328,2
219006331,0
219006382,0
219006383,0
219006389,0
219006437,0
219006443,0
219006514,0
219006552,0
219006563,0
219006598,0
219006622,0
219006719,0
219006795,0
219006835,0
219006918,0
219006971,0
219007027,0
219007034,0
219007036,0
